nianren02	01604bed51f13663	4	1	480	0	0	0	0	0	0
jiaoyin02	01fe65291cab244a	15	1	400	0	0	0	0	0	0
zhongdianhulian02	0470f2b1177274b4	2	1	12	0	0	0	0	0	0
cpstpsj7221	07c5d28a1b99f69e	9	1	364	0	1	0	0	0	0
dspztc037	09faef06604fff3f	6	1	120	0	0	0	0	0	0
dspztc043	0b61209ebd73cab5	15	1	129	0	0	0	0	0	0
cpstpsj405	0cfa2a8319f877ec	3	1	80	0	0	0	0	0	0
dspztc051	0f895ca0d4b2726e	7	1	60	0	0	0	0	0	0
fenghuangxinwen04	11fc17193c6a3265	5	1	160	0	0	0	0	0	0
dspztc051	12140124cb476760	5	1	104	0	0	0	0	0	0
dspztc037	122e7e109ba49976	1	1	10	0	0	0	0	0	0
dspztc042	1251214f1dc1fa7d	7	1	1400	0	0	0	0	0	0
	13067e64d1a195e5	14	1	980	1	0	0	0	0	0
cpstpsj405	14ad8c5d96f1551e	2	1	60	0	0	0	0	0	0
zhongdianhulian01	1bb49dd3b84ab3d1	2	1	60	0	0	0	0	0	0
	1ddf49b1fd192bae	4	1	120	1	0	0	0	0	0
cpstpsj405	20280efb40675b74	3	1	172	0	0	0	0	0	0
fenghuangxinwen03	20ec1b220b07a40a	8	1	600	0	0	0	0	0	0
dspztc051	211e6dde4a16e209	8	1	240	0	0	0	0	0	0
zhongdianhulian01	222949caab8c4a67	2	1	232	0	0	0	0	0	0
zhongdianhulian02	22d39f573268518c	4	1	1400	0	0	0	0	0	0
zhongdianhulian03	22e230f5b272780e	2	1	48	0	0	0	0	0	0
cpstpsj702	244a716b1c0f2058	3	1	680	0	0	0	0	0	0
hongtu02	247d12a51b0e9602	5	1	40	0	0	0	0	0	0
honglu01	24f4d3f1e26b4649	2	1	216	0	0	0	0	0	0
cpstpsj408	2554d88dde838d21	4	1	60	0	0	0	0	0	0
dspztc043	2703eed7d26b2ff4	12	1	85	0	0	0	0	0	0
dspztc037	289fe2910471dd9d	7	1	232	0	0	0	1	0	0
nianren02	2c2047cdd1b4623d	11	1	60	0	0	0	0	0	0
dspztc051	2cc5c08b19561d99	3	1	828	0	0	0	0	0	0
yuanwei03	2de552df678391dd	1	1	120	0	0	0	0	0	0
cpstpsj702	316d0c931e6ebcbd	9	1	235	0	0	0	0	0	0
cpstpsj703	322d6cef1e37ff79	1	1	10	0	0	0	0	0	0
yingshu01	35cbeedc4007b061	3	1	60	0	0	0	0	0	0
yuanwei03	3667fc7b881c8834	1	1	319	0	0	0	0	0	0
hongtu03	36a7e634417511c1	6	1	54	0	1	0	0	0	0
yuanwei03	370aef3bf25fe608	2	1	10	0	0	0	0	0	0
dspztc037	386361db07b31735	7	1	163	0	0	0	0	0	0
