us,epv,sum_shows,sum_clicks,sum_charge(元),sum_zhihang_clicks,sum_phone_clicks,sum_appoint_confirm_clicks,sum_consult_clicks,sum_collect_clicks,sum_buy_clicks,conversion,ctr2,cvr,asn,cpm3
jingzhong01,2,3,2,0.7,0,0,0,0,0,0,0,0.6666666666666666,0.0,1.5,0.35
cpstpsj4194,1,7,1,10.4,0,0,0,0,0,0,0,0.14285714285714285,0.0,7.0,10.4
cpstpsj8033,1,7,2,1.7,0,0,0,0,0,0,0,0.2857142857142857,0.0,7.0,1.7
cpstpsj1240,2,25,2,14.1,0,1,0,0,0,0,1,0.08,0.5,12.5,7.05
cpstpsj4384,1,15,1,21.8,0,0,0,0,0,0,0,0.06666666666666667,0.0,15.0,21.8
yrtt14,1,4,1,2.47,0,0,0,0,0,0,0,0.25,0.0,4.0,2.47
cpstpsj8319,1,7,1,3.2,0,1,0,0,0,0,1,0.14285714285714285,1.0,7.0,3.2
cpstpsj9390,1,15,2,11.12,0,0,0,0,0,0,0,0.13333333333333333,0.0,15.0,11.12
cpstpsj918,2,29,4,32.65,0,0,0,0,0,0,0,0.13793103448275862,0.0,14.5,16.325
cpstpsj3214,1,15,1,8.92,0,0,0,0,0,0,0,0.06666666666666667,0.0,15.0,8.92
cpstpsj7239,1,7,1,0.4,0,0,0,0,0,0,0,0.14285714285714285,0.0,7.0,0.4
jingzhong03,1,3,1,0.1,0,0,0,0,0,0,0,0.3333333333333333,0.0,3.0,0.1
weimiao01,1,3,1,2.8,0,0,0,0,0,0,0,0.3333333333333333,0.0,3.0,2.8
